Zeit Kanal A
(ms) (mV)
-44.01152000 3.56151000
-43.99105000 3.56151000
-43.97057000 4.46180600
-43.95009000 3.56151000
-43.92961000 4.46180600
-43.90913000 3.56151000
-43.88865000 3.56151000
-43.86817000 2.66426600
-43.84769000 3.56151000
-43.82721000 2.66426600
-43.80673000 3.56151000
-43.78625000 3.56151000
-43.76577000 3.56151000
-43.74529000 3.56151000
-43.72481000 3.56151000
-43.70433000 3.56151000
-43.68385000 2.66426600
-43.66337000 2.66426600
-43.64289000 3.56151000
-43.62241000 3.56151000
-43.60192000 3.56151000
-43.58145000 3.56151000
-43.56097000 3.56151000
-43.54049000 3.56151000
-43.52001000 2.66426600
-43.49953000 2.66426600
-43.47905000 3.56151000
-43.45856000 3.56151000
-43.43809000 2.66426600
-43.41761000 3.56151000
-43.39713000 2.66426600
-43.37665000 3.56151000
-43.35617000 2.66426600
-43.33569000 2.66426600
-43.31520000 2.66426600
-43.29473000 2.66426600
-43.27425000 3.56151000
-43.25377000 3.56151000
-43.23329000 3.56151000
-43.21281000 2.66426600
-43.19233000 2.66426600
-43.17185000 2.66426600
-43.15137000 3.56151000
-43.13089000 3.56151000
-43.11041000 2.66426600
-43.08993000 3.56151000
-43.06945000 2.66426600
-43.04897000 2.66426600
-43.02849000 0.86672560
-43.00801000 2.66426600
-42.98753000 1.76397000
-42.96705000 2.66426600
-42.94657000 3.56151000
-42.92609000 2.66426600
-42.90561000 3.56151000
-42.88513000 2.66426600
-42.86465000 2.66426600
-42.84417000 2.66426600
-42.82369000 2.66426600
-42.80321000 2.66426600
-42.78273000 3.56151000
-42.76225000 3.56151000
-42.74177000 2.66426600
-42.72129000 3.56151000
-42.70081000 2.66426600
-42.68033000 2.66426600
-42.65985000 1.76397000
-42.63937000 2.66426600
-42.61889000 3.56151000
-42.59841000 2.66426600
-42.57793000 3.56151000
-42.55745000 2.66426600
-42.53697000 2.66426600
-42.51649000 2.66426600
-42.49601000 2.66426600
-42.47553000 1.76397000
-42.45505000 2.66426600
-42.43457000 3.56151000
-42.41409000 2.66426600
-42.39360000 3.56151000
-42.37313000 2.66426600
-42.35265000 2.66426600
-42.33217000 1.76397000
-42.31169000 2.66426600
-42.29121000 2.66426600
-42.27073000 2.66426600
-42.25024000 3.56151000
-42.22977000 3.56151000
-42.20929000 3.56151000
-42.18881000 3.56151000
-42.16833000 3.56151000
-42.14785000 2.66426600
-42.12737000 3.56151000
-42.10689000 3.56151000
-42.08641000 2.66426600
-42.06593000 3.56151000
-42.04545000 2.66426600
-42.02497000 3.56151000
-42.00449000 1.76397000
-41.98400000 3.56151000
-41.96353000 2.66426600
-41.94305000 3.56151000
-41.92257000 3.56151000
-41.90209000 3.56151000
-41.88161000 3.56151000
-41.86113000 3.56151000
-41.84064000 3.56151000
-41.82017000 2.66426600
-41.79969000 3.56151000
-41.77921000 3.56151000
-41.75873000 3.56151000
-41.73825000 4.46180600
-41.71777000 3.56151000
-41.69728000 4.46180600
-41.67681000 3.56151000
-41.65633000 3.56151000
-41.63585000 3.56151000
-41.61537000 3.56151000
-41.59489000 4.46180600
-41.57441000 3.56151000
-41.55393000 4.46180600
-41.53345000 3.56151000
-41.51297000 3.56151000
-41.49249000 2.66426600
-41.47201000 3.56151000
-41.45153000 3.56151000
-41.43105000 3.56151000
-41.41057000 4.46180600
-41.39009000 4.46180600
-41.36961000 4.46180600
-41.34913000 3.56151000
-41.32865000 3.56151000
-41.30817000 3.56151000
-41.28769000 3.56151000
-41.26721000 3.56151000
-41.24673000 3.56151000
-41.22625000 3.56151000
-41.20577000 3.56151000
-41.18529000 3.56151000
-41.16481000 3.56151000
-41.14433000 3.56151000
-41.12385000 3.56151000
-41.10337000 3.56151000
-41.08289000 3.56151000
-41.06241000 3.56151000
-41.04193000 3.56151000
-41.02145000 3.56151000
-41.00097000 3.56151000
-40.98049000 1.76397000
-40.96001000 3.56151000
-40.93953000 3.56151000
-40.91905000 3.56151000
-40.89857000 4.46180600
-40.87809000 3.56151000
-40.85761000 3.56151000
-40.83713000 3.56151000
