Zeit,Kanal A,Kanal B
(ms),(mV),(V)

-4.70400600,2.46742200,-1.51963900
-4.70272600,3.36466600,-1.50199900
-4.70144600,2.91604400,-1.51963900
-4.70016600,3.36466600,-1.51963900
-4.69888600,3.36466600,-1.51963900
-4.69760600,3.36466600,-1.53733900
-4.69632600,3.36466600,-1.53733900
-4.69504600,2.91604400,-1.53733900
-4.69376600,2.46742200,-1.55497900
-4.69248600,2.46742200,-1.55497900
-4.69120600,2.46742200,-1.55497900
-4.68992600,2.46742200,-1.53733900
-4.68864600,2.46742200,-1.53733900
-4.68736600,2.46742200,-1.53733900
-4.68608600,2.91604400,-1.53733900
-4.68480600,2.91604400,-1.53733900
-4.68352600,2.46742200,-1.53733900
-4.68224600,2.46742200,-1.53733900
-4.68096600,2.91604400,-1.53733900
-4.67968600,2.46742200,-1.53733900
-4.67840600,2.46742200,-1.53733900
-4.67712600,2.91604400,-1.53733900
-4.67584600,2.46742200,-1.53733900
-4.67456600,2.46742200,-1.53733900
-4.67328600,2.01879900,-1.55497900
-4.67200600,1.57017700,-1.55497900
-4.67072600,1.57017700,-1.55497900
-4.66944600,1.57017700,-1.55497900
-4.66816600,2.01879900,-1.53733900
-4.66688600,2.91604400,-1.51963900
-4.66560600,2.91604400,-1.51963900
-4.66432600,3.36466600,-1.51963900
-4.66304600,3.36466600,-1.51963900
-4.66176700,3.36466600,-1.53733900
-4.66048600,3.36466600,-1.51963900
-4.65920600,2.91604400,-1.53733900
-4.65792600,2.91604400,-1.53733900
-4.65664600,2.46742200,-1.55497900
-4.65536600,2.46742200,-1.55497900
-4.65408600,2.46742200,-1.55497900
-4.65280600,2.46742200,-1.55497900
-4.65152600,2.46742200,-1.53733900
-4.65024600,2.46742200,-1.53733900
-4.64896600,2.91604400,-1.53733900
-4.64768600,2.91604400,-1.53733900
-4.64640600,2.91604400,-1.53733900
-4.64512600,2.46742200,-1.53733900
-4.64384700,2.46742200,-1.53733900
-4.64256600,2.46742200,-1.53733900
