Zeit Kanal A Kanal B
(ms) (mV) (V)
-42.72129000 2.91604400 -1.60795900
-42.70081000 2.01879900 -1.62559900
-42.68033000 2.91604400 -1.59025800
-42.65985000 2.46742200 -1.59025800
-42.63937000 2.91604400 -1.60795900
-42.61889000 3.36466600 -1.57261900
-42.59841000 2.91604400 -1.60795900
-42.57793000 3.36466600 -1.60795900
-42.55745000 2.91604400 -1.59025800
-42.53697000 2.91604400 -1.60795900
-42.51649000 2.01879900 -1.60795900
-42.49601000 2.91604400 -1.59025800
-42.47553000 3.36466600 -1.55497900
-42.45505000 2.91604400 -1.59025800
-42.43457000 3.36466600 -1.59025800
-42.41409000 2.91604400 -1.59025800
-42.39360000 2.91604400 -1.60795900
-42.37313000 3.81328800 -1.60795900
-42.35265000 2.91604400 -1.59025800
-42.33217000 2.46742200 -1.60795900
-42.31169000 2.91604400 -1.59025800
-42.29121000 3.36466600 -1.57261900
-42.27073000 2.91604400 -1.59025800
-42.25024000 3.36466600 -1.57261900
-42.22977000 2.91604400 -1.59025800
-42.20929000 2.46742200 -1.60795900
-42.18881000 2.01879900 -1.60795900
-42.16833000 2.91604400 -1.59025800
-42.14785000 2.91604400 -1.55497900
-42.12737000 2.91604400 -1.59025800
-42.10689000 3.36466600 -1.55497900
-42.08641000 2.91604400 -1.59025800
-42.06593000 3.36466600 -1.59025800
-42.04545000 2.46742200 -1.59025800
-42.02497000 2.46742200 -1.59025800
-42.00449000 2.01879900 -1.60795900
-41.98400000 2.91604400 -1.59025800
-41.96353000 2.91604400 -1.55497900
-41.94305000 2.91604400 -1.59025800
-41.92257000 3.36466600 -1.57261900
-41.90209000 2.91604400 -1.59025800
-41.88161000 2.91604400 1.53422700
-41.86113000 1.57017700 1.55192700
-41.84064000 2.46742200 1.56956700
-41.82017000 2.01879900 1.58720700
-41.79969000 2.91604400 1.58720700
-41.77921000 17.27500000 1.62254700
-41.75873000 15.92914000 1.58720700
-41.73825000 15.48051000 1.62254700
-41.71777000 14.13465000 1.60484600
-41.69728000 12.33863000 1.58720700
-41.67681000 11.44139000 1.58720700
-41.65633000 10.99277000 1.58720700
-41.63585000 10.54414000 1.64018700
-41.61537000 10.09552000 1.60484600
-41.59489000 10.09552000 1.62254700
-41.57441000 8.74965700 1.62254700
-41.55393000 8.74965700 1.58720700
-41.53345000 8.30103400 1.60484600
-41.51297000 7.85088700 1.58720700
-41.49249000 6.50502000 1.58720700
-41.47201000 6.50502000 1.62254700
-41.45153000 6.95364200 1.62254700
-41.43105000 6.50502000 1.60484600
-41.41057000 6.50502000 1.62254700
-41.39009000 5.60777600 1.60484600
-41.36961000 5.15915400 1.58720700
-41.34913000 3.81328800 1.56956700
-41.32865000 4.71053200 1.60484600
-41.30817000 4.26191000 1.58720700
-41.28769000 4.71053200 1.60484600
-41.26721000 5.15915400 1.62254700
-41.24673000 4.26191000 1.58720700
-41.22625000 4.71053200 1.60484600
-41.20577000 3.81328800 1.60484600
-41.18529000 3.81328800 1.58720700
-41.16481000 3.36466600 1.58720700
-41.14433000 3.36466600 1.60484600
-41.12385000 4.26191000 1.64018700
-41.10337000 3.36466600 1.58720700
-41.08289000 4.26191000 1.62254700
-41.06241000 3.36466600 1.58720700
-41.04193000 3.36466600 1.58720700
-41.02145000 4.26191000 1.58720700
-41.00097000 2.91604400 1.58720700
-40.98049000 2.46742200 1.58720700
-40.96001000 3.36466600 1.58720700
-40.93953000 3.36466600 1.62254700
-40.91905000 3.36466600 1.58720700
-40.89857000 3.36466600 1.60484600
-40.87809000 2.91604400 1.62254700
-40.85761000 2.91604400 1.58720700
-40.83713000 2.01879900 1.58720700
-40.81665000 2.91604400 1.58720700
-40.79617000 2.91604400 1.62254700
-40.77569000 2.91604400 1.58720700
-40.75521000 3.36466600 1.62254700
-40.73473000 2.91604400 1.58720700
-40.71425000 3.36466600 1.58720700
-40.69377000 2.91604400 1.58720700
-40.67329000 2.91604400 1.58720700
-40.65281000 1.57017700 1.58720700
-40.63233000 2.91604400 -1.59025800
-40.61185000 2.91604400 -1.57261900
-40.59137000 2.46742200 -1.59025800
-40.57089000 3.36466600 -1.59025800
-40.55041000 2.46742200 -1.60795900
-40.52993000 2.91604400 -1.62559900
-40.50945000 1.57017700 -1.62559900
-40.48896000 2.46742200 -1.60795900
-40.46849000 1.57017700 -1.60795900
-40.44801000 2.91604400 -1.59025800
-40.42753000 3.36466600 -1.57261900
-40.40705000 2.46742200 -1.60795900
-40.38657000 3.36466600 -1.59025800
-40.36609000 2.46742200 -1.60795900
-40.34561000 2.46742200 -1.60795900
