Kommentar: 
Zeit: 24.10.2011	12:26
Startenergie: 140
Endenergie: 290
Energieschritt: 0
Sensitivity: 300 mV
TC: 100 ms
Phase: Phase: 130
256.5	-1271
256.6	-1290
256.7	-1275
256.8	-1250
256.9	-1239
257	-1233
257.1	-1158
257.2	-1142
257.3	-1130
257.4	-1104
257.5	-1003
257.6	-992
257.7	-952
257.8	-765
257.9	-702
258	-579
258.1	-228
258.2	-127
258.3	94
258.4	546
258.5	615
258.6	858
258.7	1318
258.8	1466
258.9	1479
259	1635
259.1	2065
259.2	2197
259.3	2301
259.4	2756
259.5	2903
259.6	2958
259.7	3590
259.8	3776
259.9	3950
260	5132
260.1	5458
260.2	5487
260.3	5536
260.4	7295
260.5	8004
260.6	8566
260.7	11213
260.8	12241
260.9	13086
261	15000
261.1	15000
261.2	15000
261.3	15000
261.4	15000
261.5	15000
261.6	15000
261.7	15000
261.8	15000
261.9	15000
262	15000
262.1	15000
262.2	15000
262.3	15000
262.4	15000
262.5	15000
262.6	14361
262.7	13630
262.8	13448
262.9	10247
263	6427
263.1	5209
263.2	3884
263.3	-3385
263.4	-5402
263.5	-6545
263.6	-13341
263.7	-15000
263.8	-15000
263.9	15000
264	15000
264.1	15000
264.2	15000
264.3	15000
264.4	15000
264.5	15000
264.6	15000
264.7	15000
264.8	15000
264.9	15000
265	15000
265.1	15000
265.2	15000
265.3	15000
265.4	-15000
265.5	-15000
265.6	-14771
265.7	-14162
265.8	-13352
265.9	-11044
266	-9740
266.1	-9337
266.2	-7226
266.3	-5754
266.4	-5451
266.5	-4454
266.6	-3270
266.7	-2672
266.8	-1629
266.9	-1280
267	-1004
267.1	-604
267.2	-489
267.3	-465
267.4	-417
267.5	-304
267.6	-239
267.7	-204
267.8	-145
267.9	-121
268	-105
268.1	-88
268.2	-74
268.3	-64
268.4	-57
268.5	-49
268.6	-43
268.7	-40
268.8	-33
268.9	-30
269	-28
269.1	-25
269.2	-21
269.3	-19
269.4	-17
269.5	-16
269.6	-13
269.7	-11
269.8	-9
269.9	-7
270	-6
270.1	-5
270.2	-4
270.3	-3
270.4	-1
270.5	-1
270.6	-1
270.7	0
270.8	0
270.9	1
271	1
271.1	2
271.2	2
271.3	2
271.4	3
271.5	3
271.6	3
271.7	3
271.8	3
271.9	4
272	4
272.1	3
272.2	3
272.3	3
272.4	3
272.5	4
272.6	4
272.7	3
272.8	3
272.9	3
273	3
273.1	3
273.2	3
273.3	4
273.4	3
273.5	3
273.6	2
273.7	2
273.8	2
273.9	2
274	2
274.1	2
274.2	2
274.3	2
274.4	1
274.5	1
274.6	0
274.7	1
274.8	0
274.9	0
275	0
275.1	0
275.2	-1
275.3	-1
275.4	-1
275.5	-2
275.6	-2
275.7	-2
275.8	-3
275.9	-3
276	-4
276.1	-4
276.2	-5
276.3	-5
276.4	-5
276.5	-6
276.6	-6
276.7	-5
276.8	-6
276.9	-6
277	-6
277.1	-5
277.2	-5
277.3	-5
277.4	-4
277.5	-4
277.6	-3
277.7	-3
277.8	-2
277.9	-3
278	-2
278.1	-2
278.2	-1
278.3	-2
278.4	-1
278.5	-2
278.6	-1
278.7	-1
278.8	-1
278.9	-1
279	-2
279.1	-2
279.2	-2
279.3	-2
279.4	-2
279.5	-2
279.6	-3
279.7	-3
279.8	-3
279.9	-3
280	-3
280.1	-3
280.2	-3
280.3	-2
280.4	-2
280.5	-3
280.6	-3
280.7	-2
280.8	-2
280.9	-2
281	-2
281.1	-2
281.2	-2
281.3	-3
281.4	-2
281.5	-2
281.6	-1
281.7	-1
281.8	-2
281.9	-2
282	-1
282.1	-1
282.2	-1
282.3	-1
282.4	0
282.5	-1
282.6	0
282.7	0
282.8	0
282.9	0
283	0
283.1	0
283.2	0
283.3	0
283.4	0
283.5	0
283.6	0
283.7	1
283.8	1
283.9	0
284	0
284.1	1
284.2	1
284.3	1
284.4	1
284.5	1
284.6	1
284.7	1
284.8	1
284.9	1
285	1
285.1	1
285.2	2
285.3	1
285.4	1
285.5	1
285.6	1
285.7	1
285.8	1
285.9	1
286	1
286.1	1
286.2	1
286.3	1
286.4	1
286.5	1
286.6	1
286.7	1
286.8	1
286.9	1
287	1
287.1	1
287.2	1
287.3	0
287.4	1
287.5	1
287.6	1
287.7	0
287.8	0
287.9	1
288	1
288.1	1
288.2	1
288.3	1
288.4	1
288.5	1
288.6	1
288.7	1
288.8	1
288.9	1
289	1
289.1	1
289.2	1
289.3	1
289.4	1
289.5	1
289.6	1
289.7	1
289.8	1
289.9	1
290	0
