Kommentar: 
Zeit: 24.10.2011	12:12
Startenergie: 850
Endenergie: 1060
Energieschritt: 0
Sensitivity: 300 mV
TC: 100 ms
Phase: Phase: 130
996.5	-110
996.6	-82
996.7	-70
996.8	-47
996.9	-27
997	-35
997.1	-21
997.2	-5
997.3	12
997.4	25
997.5	43
997.6	79
997.7	51
997.8	85
997.9	111
998	129
998.1	142
998.2	162
998.3	195
998.4	207
998.5	262
998.6	280
998.7	303
998.8	346
998.9	318
999	344
999.1	353
999.2	380
999.3	407
999.4	440
999.5	488
999.6	486
999.7	504
999.8	526
999.9	540
1000	563
1000.1	632
1000.2	648
1000.3	664
1000.4	710
1000.5	709
1000.6	721
1000.7	735
1000.8	766
1000.9	782
1001	776
1001.1	842
1001.2	836
1001.3	875
1001.4	889
1001.5	898
1001.6	911
1001.7	941
1001.8	928
1001.9	936
1002	943
1002.1	987
1002.2	987
1002.3	996
1002.4	1013
1002.5	1039
1002.6	1020
1002.7	1037
1002.8	1042
1002.9	1061
1003	1025
1003.1	1058
1003.2	1070
1003.3	1059
1003.4	1062
1003.5	1071
1003.6	1053
1003.7	1064
1003.8	1074
1003.9	1046
1004	1032
1004.1	1021
1004.2	1013
1004.3	973
1004.4	975
1004.5	957
1004.6	916
1004.7	913
1004.8	923
1004.9	885
1005	832
1005.1	806
1005.2	801
1005.3	722
1005.4	728
1005.5	702
1005.6	634
1005.7	607
1005.8	581
1005.9	521
1006	525
1006.1	541
1006.2	515
1006.3	442
1006.4	406
1006.5	381
1006.6	329
1006.7	313
1006.8	283
1006.9	198
1007	190
1007.1	164
1007.2	114
1007.3	108
1007.4	107
1007.5	73
1007.6	4
1007.7	10
1007.8	-2
1007.9	-87
1008	-97
1008.1	-143
1008.2	-185
1008.3	-186
1008.4	-226
1008.5	-262
1008.6	-286
1008.7	-313
1008.8	-387
1008.9	-405
1009	-413
1009.1	-455
1009.2	-463
1009.3	-451
1009.4	-475
1009.5	-507
1009.6	-508
1009.7	-543
1009.8	-572
1009.9	-570
1010	-582
1010.1	-602
1010.2	-627
1010.3	-608
1010.4	-606
1010.5	-601
1010.6	-602
1010.7	-631
1010.8	-657
1010.9	-649
1011	-637
1011.1	-619
1011.2	-636
1011.3	-609
1011.4	-620
1011.5	-613
1011.6	-595
1011.7	-567
1011.8	-577
1011.9	-573
1012	-586
1012.1	-552
1012.2	-550
1012.3	-527
1012.4	-485
1012.5	-491
1012.6	-490
1012.7	-420
1012.8	-420
1012.9	-380
1013	-310
1013.1	-304
1013.2	-333
1013.3	-277
1013.4	-242
1013.5	-238
1013.6	-204
1013.7	-132
1013.8	-104
1013.9	-63
1014	-8
1014.1	17
1014.2	32
1014.3	132
1014.4	137
1014.5	152
1014.6	186
1014.7	254
1014.8	292
1014.9	297
1015	392
1015.1	422
1015.2	467
1015.3	546
1015.4	588
1015.5	648
1015.6	735
1015.7	759
1015.8	807
1015.9	876
1016	918
1016.1	904
1016.2	915
1016.3	1022
1016.4	1021
1016.5	1063
1016.6	1163
1016.7	1197
1016.8	1206
1016.9	1280
1017	1323
1017.1	1342
1017.2	1384
1017.3	1446
1017.4	1460
1017.5	1497
1017.6	1548
1017.7	1543
1017.8	1557
1017.9	1640
1018	1644
1018.1	1691
1018.2	1744
1018.3	1758
1018.4	1808
1018.5	1854
1018.6	1845
1018.7	1840
1018.8	1861
1018.9	1898
1019	1906
1019.1	1923
