Kommentar: 
Zeit: 24.10.2011	12:41
Startenergie: 50
Endenergie: 190
Energieschritt: 0
Sensitivity: 300 mV
TC: 100 ms
Phase: Phase: 130
154.8	-14
154.9	-26
155	-32
155.1	-33
155.2	-33
155.3	-39
155.4	-55
155.5	-58
155.6	-67
155.7	-82
155.8	-85
155.9	-89
156	-104
156.1	-107
156.2	-108
156.3	-121
156.4	-127
156.5	-127
156.6	-132
156.7	-138
156.8	-139
156.9	-142
157	-147
157.1	-148
157.2	-146
157.3	-152
157.4	-154
157.5	-154
157.6	-155
157.7	-154
157.8	-155
157.9	-153
158	-150
158.1	-149
158.2	-149
158.3	-139
158.4	-135
158.5	-133
158.6	-113
158.7	-111
158.8	-102
158.9	-75
159	-68
159.1	-65
159.2	-40
159.3	-33
159.4	-31
159.5	-25
159.6	-5
159.7	0
159.8	7
159.9	21
160	26
160.1	30
160.2	37
160.3	38
160.4	37
160.5	39
160.6	41
160.7	39
160.8	35
160.9	28
161	27
161.1	29
161.2	16
161.3	9
161.4	8
161.5	4
161.6	0
161.7	10
161.8	37
161.9	36
162	37
162.1	69
162.2	129
162.3	146
162.4	221
162.5	317
162.6	332
162.7	427
162.8	584
162.9	602
163	631
163.1	935
163.2	1066
163.3	1402
163.4	1689
163.5	1786
163.6	1798
163.7	1799
163.8	2386
163.9	2679
164	2791
164.1	3409
164.2	3547
164.3	3687
164.4	3965
164.5	4032
164.6	3906
164.7	3791
164.8	3771
164.9	3766
165	3739
165.1	3171
165.2	2723
165.3	2619
165.4	1392
165.5	1065
165.6	499
165.7	-516
165.8	-673
165.9	-973
166	-1863
166.1	-2213
166.2	-2286
166.3	-2270
166.4	-2720
166.5	-3163
166.6	-3422
166.7	-3832
166.8	-4236
166.9	-4331
167	-4366
167.1	-4397
167.2	-4424
167.3	-4190
167.4	-3965
167.5	-3833
167.6	-3554
167.7	-3059
167.8	-2845
167.9	-2750
168	-2381
168.1	-1816
168.2	-1717
168.3	-1537
168.4	-1218
168.5	-1041
168.6	-887
168.7	-654
168.8	-526
168.9	-372
169	-235
169.1	-186
169.2	-154
169.3	-106
169.4	-74
169.5	-58
169.6	-44
169.7	-26
169.8	-18
169.9	-8
170	-4
170.1	-2
170.2	-1
170.3	0
170.4	0
170.5	1
170.6	1
170.7	2
170.8	2
170.9	2
171	2
171.1	2
171.2	2
171.3	2
171.4	2
171.5	2
171.6	2
171.7	2
171.8	2
171.9	2
172	2
172.1	2
172.2	2
172.3	1
172.4	1
172.5	1
172.6	2
172.7	1
172.8	1
172.9	1
173	1
173.1	1
173.2	1
173.3	0
173.4	1
173.5	0
173.6	0
173.7	0
173.8	0
173.9	0
174	0
174.1	0
174.2	0
174.3	0
174.4	0
174.5	0
174.6	0
174.7	0
174.8	0
174.9	0
175	0
175.1	0
175.2	0
175.3	0
175.4	0
175.5	0
175.6	0
175.7	0
175.8	0
175.9	0
176	0
176.1	0
176.2	0
176.3	0
176.4	0
176.5	0
176.6	0
176.7	0
176.8	0
176.9	0
177	0
177.1	0
177.2	0
177.3	1
177.4	0
177.5	1
177.6	1
177.7	0
177.8	1
177.9	0
178	1
178.1	0
178.2	1
178.3	1
178.4	1
178.5	1
178.6	1
178.7	1
178.8	1
178.9	1
179	1
179.1	1
179.2	0
179.3	1
179.4	1
179.5	1
179.6	1
179.7	1
179.8	1
179.9	1
180	1
180.1	1
180.2	1
180.3	1
180.4	1
180.5	1
180.6	1
180.7	1
180.8	1
180.9	1
181	1
181.1	1
181.2	1
181.3	1
181.4	1
181.5	1
181.6	1
181.7	1
181.8	1
181.9	1
182	1
182.1	1
182.2	1
182.3	1
182.4	1
182.5	1
182.6	1
182.7	1
182.8	1
182.9	1
183	1
183.1	1
183.2	1
183.3	1
183.4	1
183.5	1
183.6	1
183.7	1
183.8	1
183.9	1
184	1
184.1	1
184.2	1
184.3	1
184.4	1
184.5	1
184.6	1
184.7	1
184.8	1
184.9	1
185	1
185.1	1
185.2	1
185.3	1
185.4	1
185.5	1
185.6	1
185.7	1
185.8	1
185.9	1
186	1
186.1	1
186.2	1
186.3	1
186.4	1
186.5	1
186.6	1
186.7	1
186.8	1
186.9	1
187	1
187.1	1
187.2	1
187.3	1
187.4	1
187.5	1
187.6	1
187.7	1
187.8	1
187.9	1
188	1
188.1	1
188.2	1
188.3	1
188.4	1
188.5	1
188.6	1
188.7	1
188.8	1
188.9	1
189	1
189.1	1
189.2	1
189.3	1
189.4	1
189.5	1
189.6	1
189.7	1
189.8	1
189.9	1
190	1
